MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
367396710,2021-01-01T03:01:11,37.79218,-122.28552,0.1,188.9,272.0
367396710,2021-01-01T03:10:22,37.79218,-122.28552,0.1,194.7,270.0
367396710,2021-01-01T02:53:12,37.79217,-122.28552,0.1,339.1,272.0
367396710,2021-01-01T03:05:42,37.79218,-122.28552,0.1,331.6,271.0
367396710,2021-01-01T03:19:33,37.79218,-122.28552,0.1,207.8,270.0
367396710,2021-01-01T03:17:13,37.79217,-122.28552,0.2,315.0,271.0
367396710,2021-01-01T03:18:21,37.79218,-122.28553,0.1,313.1,270.0
367396710,2021-01-01T03:09:13,37.79218,-122.28552,0.1,347.9,271.0
367396710,2021-01-01T03:20:43,37.79217,-122.28553,0.1,338.8,271.0
367396710,2021-01-01T03:13:52,37.79217,-122.28552,0.1,322.3,270.0
367396710,2021-01-01T03:25:13,37.79217,-122.28552,0.1,175.3,271.0
367396710,2021-01-01T03:33:13,37.79218,-122.28552,0.1,336.4,271.0
367396710,2021-01-01T03:21:52,37.79218,-122.28553,0.1,157.6,270.0
367396710,2021-01-01T03:36:42,37.79217,-122.28552,0.1,280.6,270.0
367396710,2021-01-01T03:43:42,37.79217,-122.28552,0.1,31.8,270.0
367396710,2021-01-01T03:44:53,37.79217,-122.28552,0.1,206.5,271.0
367396710,2021-01-01T03:40:13,37.79217,-122.28552,0.1,357.8,271.0
367396710,2021-01-01T03:41:22,37.79217,-122.28552,0.1,208.1,271.0
367396710,2021-01-01T03:52:53,37.79217,-122.28552,0.1,204.2,271.0
367396710,2021-01-01T03:54:03,37.79217,-122.28552,0.1,174.4,271.0
367396710,2021-01-01T04:02:22,37.79217,-122.28552,0.1,287.7,271.0
367396710,2021-01-01T04:00:03,37.79217,-122.28552,0.1,351.9,271.0
367396710,2021-01-01T03:58:43,37.79217,-122.28552,0.1,33.6,271.0
367396710,2021-01-01T04:11:42,37.79217,-122.28552,0.1,35.0,272.0
367396710,2021-01-01T04:08:13,37.79217,-122.28552,0.1,9.9,271.0
367396710,2021-01-01T04:17:33,37.79217,-122.28552,0.1,22.8,272.0
367396710,2021-01-01T04:19:52,37.79217,-122.28552,0.1,95.3,272.0
367396710,2021-01-01T04:29:11,37.79217,-122.28552,0.1,210.7,271.0
367396710,2021-01-01T04:16:22,37.79217,-122.28552,0.1,266.6,272.0
367396710,2021-01-01T04:35:02,37.79217,-122.28552,0.1,302.3,271.0
367396710,2021-01-01T04:38:33,37.79217,-122.28552,0.2,191.3,270.0
367396710,2021-01-01T04:26:53,37.79217,-122.28552,0.1,36.1,271.0
367396710,2021-01-01T04:28:03,37.79217,-122.28552,0.3,168.2,271.0
367396710,2021-01-01T04:39:42,37.79217,-122.28552,0.1,313.9,270.0
367396710,2021-01-01T04:40:52,37.79217,-122.28552,0.2,206.8,270.0
367396710,2021-01-01T04:42:02,37.79217,-122.28552,0.1,132.8,270.0
367396710,2021-01-01T04:32:41,37.79217,-122.28552,0.1,102.1,271.0
367396710,2021-01-01T04:44:21,37.79217,-122.28552,0.1,115.4,270.0
367396710,2021-01-01T04:47:32,37.79217,-122.28553,0.1,104.9,271.0
367396710,2021-01-01T04:54:31,37.79218,-122.28553,0.1,8.5,272.0
367396710,2021-01-01T05:03:31,37.79218,-122.28553,0.1,66.4,271.0
367396710,2021-01-01T05:04:43,37.79217,-122.28553,0.1,358.7,271.0
367396710,2021-01-01T05:08:11,37.79218,-122.28553,0.1,46.1,271.0
367396710,2021-01-01T04:55:32,37.79218,-122.28553,0.1,98.9,271.0
367396710,2021-01-01T04:59:03,37.79218,-122.28553,0.1,0.1,271.0
367396710,2021-01-01T05:22:13,37.79218,-122.28553,0.1,243.5,270.0
367396710,2021-01-01T05:14:03,37.79218,-122.28553,0.1,350.0,272.0
367396710,2021-01-01T05:26:52,37.79217,-122.28553,0.1,177.1,270.0
367396710,2021-01-01T05:24:32,37.79217,-122.28553,0.1,132.5,270.0
367396710,2021-01-01T05:29:03,37.79217,-122.28553,0.1,155.1,270.0
367396710,2021-01-01T05:15:13,37.79218,-122.28553,0.1,352.2,272.0
367396710,2021-01-01T05:16:22,37.79218,-122.28553,0.1,336.3,271.0
367396710,2021-01-01T05:34:52,37.79217,-122.28553,0.1,335.2,270.0
367396710,2021-01-01T05:42:51,37.79217,-122.28553,0.3,159.8,270.0
367396710,2021-01-01T05:39:21,37.79217,-122.28553,0.1,63.1,271.0
367396710,2021-01-01T05:46:12,37.79218,-122.28553,0.1,203.4,271.0
367396710,2021-01-01T05:28:02,37.79217,-122.28553,0.1,304.0,270.0
367396710,2021-01-01T05:41:41,37.79217,-122.28553,0.2,330.4,270.0
367396710,2021-01-01T05:47:23,37.79217,-122.28553,0.1,324.6,271.0
367396710,2021-01-01T05:54:03,37.79217,-122.28552,0.1,20.3,271.0
367396710,2021-01-01T05:56:21,37.79217,-122.28552,0.1,311.5,271.0
367396710,2021-01-01T05:58:42,37.79217,-122.28552,0.1,309.1,271.0
367396710,2021-01-01T05:59:51,37.79217,-122.28552,0.1,352.3,271.0
367396710,2021-01-01T05:44:02,37.79217,-122.28553,0.1,169.6,270.0
367396710,2021-01-01T05:50:52,37.79217,-122.28552,0.1,312.1,271.0
367396710,2021-01-01T06:08:03,37.79217,-122.28552,0.1,165.0,271.0
367396710,2021-01-01T05:51:53,37.79217,-122.28553,0.1,112.6,271.0
367396710,2021-01-01T06:11:31,37.79217,-122.28552,0.1,168.8,271.0
367396710,2021-01-01T05:48:33,37.79217,-122.28553,0.1,8.4,271.0
367396710,2021-01-01T06:12:43,37.79217,-122.28552,0.1,190.8,270.0
367396710,2021-01-01T06:04:32,37.79217,-122.28552,0.2,163.6,270.0
367396710,2021-01-01T06:19:32,37.79217,-122.28552,0.2,170.8,271.0
367396710,2021-01-01T06:15:02,37.79217,-122.28552,0.1,230.3,271.0
367396710,2021-01-01T06:16:13,37.79217,-122.28552,0.1,33.7,271.0
367396710,2021-01-01T06:18:22,37.79217,-122.28552,0.1,40.4,271.0
367396710,2021-01-01T06:37:53,37.79217,-122.28552,0.1,258.5,271.0
367396710,2021-01-01T06:13:53,37.79217,-122.28552,0.1,133.9,271.0
367396710,2021-01-01T06:33:23,37.79216,-122.28552,0.1,128.4,271.0
367396710,2021-01-01T06:24:12,37.79216,-122.28552,0.1,291.8,271.0
367396710,2021-01-01T06:34:31,37.79216,-122.28552,0.2,198.5,271.0
367396710,2021-01-01T06:28:52,37.79217,-122.28552,0.1,138.4,271.0
367396710,2021-01-01T06:39:02,37.79217,-122.28552,0.1,218.1,271.0
367396710,2021-01-01T06:30:02,37.79216,-122.28552,0.1,342.6,272.0
367396710,2021-01-01T06:40:03,37.79217,-122.28552,0.1,346.2,271.0
367396710,2021-01-01T06:49:21,37.79217,-122.28552,0.1,72.2,271.0
367396710,2021-01-01T06:55:12,37.79217,-122.28552,0.1,35.5,271.0
367396710,2021-01-01T06:42:33,37.79217,-122.28552,0.1,233.8,271.0
367396710,2021-01-01T06:43:43,37.79217,-122.28552,0.1,99.9,271.0
367396710,2021-01-01T07:00:12,37.79217,-122.28553,0.1,108.5,270.0
367396710,2021-01-01T07:03:32,37.79217,-122.28553,0.1,129.1,270.0
367396710,2021-01-01T07:01:22,37.79217,-122.28553,0.1,110.8,270.0
367396710,2021-01-01T06:54:02,37.79217,-122.28552,0.1,297.1,271.0
367396710,2021-01-01T07:05:53,37.79217,-122.28553,0.2,143.8,270.0
367396710,2021-01-01T06:50:31,37.79217,-122.28552,0.1,21.0,271.0
367396710,2021-01-01T06:57:32,37.79217,-122.28552,0.1,261.2,270.0
367396710,2021-01-01T07:17:32,37.79216,-122.28553,0.2,32.6,270.0
367396710,2021-01-01T07:09:23,37.79216,-122.28553,0.1,31.4,270.0
367396710,2021-01-01T07:22:02,37.79216,-122.28553,0.1,10.5,270.0
367396710,2021-01-01T07:24:22,37.79216,-122.28553,0.1,254.6,270.0
367396710,2021-01-01T07:08:12,37.79216,-122.28553,0.1,201.0,271.0
367396710,2021-01-01T07:29:03,37.79216,-122.28553,0.1,1.1,270.0
367396710,2021-01-01T07:20:52,37.79216,-122.28553,0.1,61.1,270.0
367396710,2021-01-01T07:18:33,37.79216,-122.28553,0.1,32.2,270.0
367396710,2021-01-01T07:23:11,37.79216,-122.28553,0.1,136.6,270.0
367396710,2021-01-01T07:34:52,37.79216,-122.28553,0.1,183.0,270.0
367396710,2021-01-01T07:38:12,37.79216,-122.28553,0.1,40.1,270.0
367396710,2021-01-01T07:30:13,37.79216,-122.28553,0.2,31.5,271.0
367396710,2021-01-01T07:40:33,37.79216,-122.28553,0.1,247.1,271.0
367396710,2021-01-01T07:41:42,37.79216,-122.28553,0.1,235.0,271.0
367396710,2021-01-01T07:46:21,37.79216,-122.28553,0.1,198.2,271.0
